"colegio","sexo","edad","residencia","tam.fam","estado.padres","edu.madre","edu.padre","trab.madre","trab.padre","motivo","apoderado","tpo.viaje","estudio","reprobaciones","apoyo.alumno","apoyo.familia","particular","actividades","preescolar","superior","internet","relacion","relacion.familiar","tiempo.libre","salidas","alcohol.s","alcohol.f","salud","inasistencias","final"
"GP","F",16,"urbana",">3","juntos","media","superior","ninguno","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","mala","bastante","suficiente","nada","muy_poco","buena",12,"R"
"GP","M",18,"urbana",">3","juntos","basica","primaria","servicios","servicios","otro","madre","<15","<2",2,"no","no","no","no","no","no","si","no","buena","poco","mucho","muy_poco","mucho","excelente",4,"R"
"MS","F",18,"rural",">3","juntos","superior","superior","docencia","ninguno","reputacion","madre","31-60","<2",0,"no","si","si","si","si","si","si","si","muy_buena","bastante","suficiente","muy_poco","muy_poco","excelente",7,"R"
"GP","M",17,"urbana",">3","juntos","media","basica","servicios","servicios","curriculo","madre","<15","<2",3,"no","si","si","si","si","si","si","no","excelente","mucho","mucho","muy_poco","bastante","excelente",2,"R"
"GP","F",18,"urbana",">3","juntos","media","media","otro","otro","curriculo","madre","15-30","<2",1,"no","no","no","no","si","no","si","no","muy_buena","muy_poco","muy_poco","nada","nada","buena",14,"R"
"MS","F",17,"rural",">3","juntos","primaria","primaria","otro","otro","otro","padre","<15","<2",1,"no","si","no","no","no","no","si","no","excelente","bastante","bastante","muy_poco","muy_poco","excelente",0,"R"
"MS","M",17,"urbana",">3","juntos","primaria","basica","otro","otro","curriculo","padre","<15","<2",1,"no","si","no","si","si","no","si","si","excelente","suficiente","mucho","mucho","mucho","muy_mala",12,"R"
"MS","F",18,"rural",">3","juntos","primaria","primaria","ninguno","otro","otro","madre","<15","2-5",1,"no","si","no","no","si","si","si","si","muy_buena","suficiente","poco","nada","nada","excelente",9,"R"
"GP","F",15,"urbana",">3","juntos","superior","superior","servicios","docencia","otro","padre","<15","2-5",1,"si","si","no","si","no","si","si","no","muy_buena","bastante","bastante","nada","nada","buena",2,"R"
"GP","M",17,"rural","<=3","juntos","primaria","primaria","otro","servicios","curriculo","madre",">60","2-5",3,"no","no","no","si","si","no","no","si","excelente","suficiente","mucho","nada","mucho","excelente",0,"R"
"GP","F",16,"urbana",">3","separados","media","primaria","servicios","otro","curriculo","madre","<15","2-5",3,"no","si","si","no","si","si","si","no","mala","suficiente","suficiente","muy_poco","muy_poco","muy_buena",5,"R"
"GP","F",17,"rural",">3","juntos","superior","media","docencia","otro","reputacion","madre","15-30","5-10",0,"no","si","si","si","si","si","si","si","muy_buena","bastante","poco","nada","nada","muy_buena",6,"R"
"MS","M",21,"rural",">3","juntos","primaria","primaria","otro","otro","curriculo","otro","<15","<2",3,"no","no","no","no","no","si","no","no","excelente","mucho","suficiente","poco","poco","buena",3,"R"
"GP","M",16,"urbana",">3","juntos","superior","superior","servicios","servicios","otro","madre","<15","<2",0,"si","si","no","si","si","si","si","no","muy_buena","mucho","mucho","mucho","mucho","muy_buena",12,"R"
"GP","F",18,"urbana",">3","juntos","basica","primaria","servicios","otro","reputacion","madre","<15","2-5",3,"no","si","no","si","si","no","si","si","excelente","bastante","mucho","nada","poco","excelente",10,"R"
"GP","M",17,"rural",">3","juntos","media","basica","otro","otro","curriculo","madre","15-30","2-5",2,"si","si","no","no","si","si","si","si","muy_buena","bastante","bastante","nada","bastante","buena",4,"R"
"GP","M",17,"urbana",">3","juntos","media","basica","servicios","servicios","curriculo","madre","15-30","<2",3,"no","si","no","si","no","no","no","no","muy_buena","mucho","poco","nada","nada","mala",10,"R"
"GP","F",17,"urbana",">3","juntos","media","superior","ninguno","servicios","distancia","madre","<15","5-10",1,"no","si","si","no","si","si","si","si","muy_buena","bastante","suficiente","poco","bastante","excelente",14,"R"
"GP","F",17,"rural","<=3","separados","primaria","superior","otro","otro","curriculo","otro",">60","<2",1,"no","si","no","no","si","si","si","no","excelente","mucho","bastante","nada","nada","excelente",14,"R"
"MS","F",15,"rural","<=3","juntos","primaria","primaria","otro","servicios","curriculo","madre","15-30","<2",1,"no","si","no","no","si","si","si","si","muy_buena","bastante","suficiente","nada","muy_poco","mala",4,"R"
"MS","F",16,"urbana",">3","juntos","primaria","basica","otro","servicios","curriculo","madre","<15","5-10",1,"no","si","no","no","si","si","no","no","muy_mala","suficiente","poco","nada","muy_poco","muy_buena",3,"R"
"MS","F",16,"urbana",">3","juntos","superior","superior","salud","salud","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","si","si","muy_buena","suficiente","bastante","nada","muy_poco","buena",4,"R"
"MS","M",16,"rural",">3","juntos","basica","basica","servicios","servicios","curriculo","madre","15-30","<2",0,"no","si","no","si","si","si","si","si","excelente","bastante","suficiente","muy_poco","bastante","muy_buena",6,"R"
"MS","F",18,"urbana",">3","separados","primaria","basica","ninguno","otro","curriculo","madre","15-30","2-5",2,"no","si","no","no","si","si","no","no","muy_buena","suficiente","suficiente","nada","nada","excelente",2,"R"
"MS","F",17,"rural","<=3","separados","media","primaria","otro","ninguno","curriculo","otro","15-30","5-10",0,"no","si","si","no","si","no","no","no","muy_buena","poco","suficiente","muy_poco","muy_poco","buena",5,"R"
"GP","F",15,"rural","<=3","juntos","basica","basica","salud","servicios","reputacion","madre","15-30","2-5",0,"si","si","si","no","si","si","si","no","muy_buena","muy_poco","suficiente","nada","poco","muy_buena",2,"R"
"GP","F",15,"urbana",">3","juntos","basica","basica","otro","otro","curriculo","madre","<15",">10",0,"si","si","si","no","si","si","si","no","excelente","muy_poco","poco","nada","nada","buena",8,"R"
"GP","F",16,"urbana",">3","juntos","basica","basica","otro","otro","distancia","madre","<15","2-5",0,"no","no","si","no","si","si","si","si","excelente","bastante","bastante","nada","nada","excelente",0,"R"
"GP","M",15,"rural",">3","juntos","basica","media","ninguno","servicios","curriculo","madre","<15","2-5",0,"si","no","si","si","si","si","no","no","muy_buena","bastante","bastante","nada","nada","muy_mala",2,"R"
"GP","M",17,"urbana",">3","juntos","primaria","basica","ninguno","servicios","otro","otro","15-30","2-5",0,"no","no","si","si","no","si","si","no","muy_buena","bastante","bastante","bastante","mucho","excelente",12,"R"
"GP","M",18,"urbana",">3","juntos","basica","basica","servicios","otro","distancia","madre","<15","2-5",1,"no","si","si","si","si","si","si","no","muy_buena","bastante","bastante","muy_poco","bastante","excelente",15,"R"
"GP","M",18,"urbana","<=3","juntos","media","media","servicios","salud","distancia","padre","<15","2-5",1,"no","si","si","no","si","si","si","no","buena","poco","bastante","muy_poco","bastante","muy_buena",13,"R"
"GP","M",18,"urbana",">3","juntos","basica","primaria","servicios","servicios","otro","madre","<15","<2",1,"no","no","no","no","no","no","si","no","buena","poco","mucho","muy_poco","mucho","excelente",4,"R"
"GP","M",17,"urbana","<=3","juntos","primaria","primaria","salud","otro","curriculo","madre","15-30","<2",1,"no","si","no","si","si","si","si","no","muy_buena","bastante","bastante","nada","muy_poco","excelente",2,"R"
"GP","F",18,"urbana","<=3","juntos","superior","media","otro","otro","distancia","otro","15-30","2-5",0,"no","si","si","no","si","si","si","si","muy_buena","bastante","mucho","nada","muy_poco","mala",10,"R"
"MS","M",18,"urbana","<=3","juntos","primaria","media","ninguno","servicios","curriculo","madre","<15","<2",1,"no","no","no","no","si","no","si","si","muy_buena","suficiente","suficiente","muy_poco","poco","buena",7,"R"
"GP","M",15,"urbana",">3","juntos","basica","media","otro","otro","distancia","madre","<15","5-10",0,"si","no","no","no","no","si","si","no","excelente","suficiente","poco","nada","muy_poco","excelente",2,"R"
"GP","M",15,"urbana",">3","juntos","media","superior","servicios","servicios","distancia","padre","<15","<2",0,"si","no","no","no","si","si","si","no","excelente","mucho","mucho","poco","muy_poco","excelente",2,"R"
"GP","M",17,"rural","<=3","juntos","basica","primaria","ninguno","otro","curriculo","madre","15-30","<2",1,"no","no","si","si","si","no","si","si","buena","suficiente","poco","muy_poco","muy_poco","excelente",8,"R"
"GP","M",16,"urbana","<=3","juntos","primaria","primaria","otro","otro","distancia","madre","15-30","2-5",0,"no","si","no","no","si","si","si","no","buena","bastante","poco","nada","nada","excelente",2,"R"
"GP","M",17,"urbana",">3","juntos","superior","superior","docencia","docencia","curriculo","madre","<15","<2",0,"no","si","no","si","no","si","si","no","muy_buena","poco","muy_poco","nada","muy_poco","excelente",6,"R"
"GP","F",19,"urbana","<=3","separados","primaria","primaria","otro","otro","curriculo","otro","31-60","2-5",2,"no","si","no","no","no","si","si","si","excelente","suficiente","bastante","nada","nada","muy_buena",2,"R"
"MS","M",17,"urbana",">3","juntos","primaria","primaria","otro","otro","distancia","madre","<15","2-5",0,"no","no","si","no","no","si","si","no","muy_buena","bastante","suficiente","muy_poco","bastante","excelente",4,"R"
"MS","F",15,"urbana",">3","juntos","basica","primaria","ninguno","otro","distancia","madre","<15","2-5",0,"si","si","no","no","no","si","si","no","muy_buena","bastante","poco","poco","poco","mala",0,"R"
"MS","F",15,"rural","<=3","juntos","primaria","primaria","ninguno","otro","curriculo","madre","15-30","<2",0,"no","si","no","no","si","no","no","si","excelente","poco","muy_poco","nada","poco","muy_buena",0,"R"
"MS","F",16,"rural","<=3","juntos","primaria","basica","ninguno","otro","curriculo","madre","<15","2-5",0,"no","no","no","si","si","no","si","no","muy_buena","bastante","mucho","nada","poco","buena",0,"R"
"MS","F",17,"rural",">3","juntos","basica","basica","ninguno","otro","otro","madre","<15","<2",0,"no","si","si","no","si","si","si","no","excelente","muy_poco","suficiente","nada","muy_poco","excelente",5,"R"
"MS","M",17,"urbana",">3","juntos","media","media","servicios","servicios","distancia","madre","<15","<2",0,"no","si","no","si","si","si","si","no","muy_buena","muy_poco","bastante","mucho","mucho","buena",8,"R"
"MS","M",16,"rural","<=3","juntos","primaria","primaria","ninguno","otro","curriculo","madre","15-30","<2",0,"no","no","no","si","si","si","si","no","muy_buena","mucho","mucho","muy_poco","bastante","excelente",0,"R"
"MS","M",18,"rural",">3","juntos","primaria","primaria","servicios","otro","curriculo","otro","15-30","<2",1,"no","si","no","no","si","no","si","si","excelente","suficiente","suficiente","muy_poco","poco","excelente",2,"R"
"MS","M",19,"urbana",">3","juntos","media","basica","ninguno","servicios","curriculo","madre","15-30","<2",3,"no","no","no","si","si","si","no","no","buena","poco","muy_poco","nada","nada","buena",4,"R"
"MS","F",19,"rural",">3","juntos","primaria","primaria","ninguno","otro","curriculo","otro","15-30","2-5",1,"no","si","no","no","si","si","si","si","muy_buena","suficiente","suficiente","nada","nada","buena",4,"R"
"MS","F",18,"urbana",">3","juntos","primaria","primaria","otro","otro","curriculo","madre","15-30","2-5",0,"no","no","no","si","si","si","no","no","muy_mala","muy_poco","muy_poco","nada","nada","excelente",6,"R"
"GP","F",16,"urbana","<=3","juntos","basica","basica","otro","ninguno","curriculo","padre","15-30","2-5",1,"si","no","no","si","si","si","si","no","muy_buena","suficiente","suficiente","muy_poco","muy_poco","excelente",14,"R"
"GP","F",16,"urbana","<=3","juntos","primaria","basica","otro","servicios","reputacion","padre","<15","2-5",0,"si","no","no","si","si","si","si","no","muy_buena","bastante","suficiente","nada","nada","muy_mala",4,"R"
"GP","F",16,"urbana",">3","juntos","superior","media","docencia","salud","distancia","madre","<15","5-10",0,"si","si","si","si","si","si","si","no","buena","bastante","bastante","muy_poco","bastante","muy_buena",2,"R"
"GP","M",16,"urbana","<=3","juntos","basica","basica","servicios","servicios","reputacion","padre","15-30","<2",2,"no","si","no","si","si","si","si","no","mala","suficiente","suficiente","muy_poco","muy_poco","mala",8,"R"
"GP","M",17,"urbana","<=3","juntos","superior","media","docencia","otro","curriculo","madre","15-30","2-5",0,"no","no","si","si","si","si","si","no","muy_buena","bastante","bastante","bastante","bastante","muy_buena",4,"R"
"GP","F",17,"urbana",">3","juntos","media","media","otro","otro","distancia","madre","<15","5-10",0,"no","no","no","si","no","si","no","no","buena","poco","suficiente","nada","nada","muy_buena",4,"R"
"GP","F",19,"urbana",">3","juntos","media","media","otro","servicios","distancia","otro","<15","2-5",2,"no","si","si","si","si","si","si","no","muy_buena","suficiente","mucho","poco","poco","excelente",15,"R"
"MS","F",18,"urbana",">3","juntos","media","media","servicios","servicios","curriculo","padre","<15","2-5",0,"no","si","no","no","si","si","no","si","excelente","suficiente","bastante","nada","nada","excelente",0,"R"
"MS","M",19,"urbana","<=3","juntos","primaria","primaria","otro","ninguno","curriculo","padre","<15","<2",0,"no","no","no","no","si","si","si","no","buena","poco","suficiente","poco","poco","excelente",5,"R"
"GP","M",16,"urbana","<=3","juntos","basica","basica","otro","otro","reputacion","madre","15-30","2-5",0,"no","si","no","si","si","si","si","no","excelente","bastante","bastante","muy_poco","bastante","excelente",2,"R"
"GP","F",15,"rural",">3","juntos","basica","superior","servicios","salud","curriculo","madre","<15","5-10",0,"si","si","no","si","si","si","si","no","muy_buena","suficiente","poco","nada","nada","excelente",2,"R"
"GP","F",16,"urbana","<=3","juntos","primaria","basica","otro","servicios","reputacion","padre","<15","2-5",0,"si","no","no","si","si","si","si","no","muy_buena","bastante","suficiente","nada","nada","muy_mala",0,"A"
"GP","F",16,"urbana",">3","juntos","media","primaria","servicios","otro","curriculo","madre","<15",">10",0,"si","si","no","no","si","si","si","no","muy_buena","suficiente","suficiente","nada","muy_poco","excelente",0,"R"
"GP","F",15,"urbana",">3","juntos","media","basica","servicios","otro","distancia","madre","15-30","2-5",0,"si","si","no","no","si","si","si","no","muy_buena","suficiente","mucho","nada","nada","mala",16,"R"
"GP","M",17,"rural",">3","juntos","media","superior","ninguno","otro","curriculo","madre","31-60","2-5",0,"no","no","no","no","si","si","no","no","excelente","bastante","mucho","muy_poco","bastante","excelente",2,"R"
"GP","M",17,"rural","<=3","juntos","primaria","basica","otro","otro","reputacion","madre","<15","<2",3,"no","no","no","no","si","si","no","no","mala","poco","poco","poco","poco","excelente",14,"R"
"GP","M",15,"urbana","<=3","juntos","primaria","basica","otro","otro","curriculo","madre","15-30","<2",0,"no","no","no","si","si","si","no","no","muy_buena","bastante","bastante","muy_poco","bastante","excelente",2,"R"
"GP","M",17,"urbana",">3","juntos","media","media","otro","otro","reputacion","padre","<15","2-5",0,"no","no","no","si","no","si","si","no","muy_buena","suficiente","bastante","nada","bastante","muy_buena",4,"R"
"GP","M",17,"rural",">3","juntos","primaria","basica","ninguno","otro","distancia","madre","<15","2-5",0,"no","no","no","no","si","si","no","no","buena","muy_poco","suficiente","nada","mucho","buena",6,"R"
"GP","M",16,"rural",">3","juntos","media","media","servicios","servicios","reputacion","madre","<15","<2",0,"no","si","no","si","si","si","si","no","muy_buena","suficiente","poco","poco","bastante","excelente",0,"R"
"GP","M",18,"urbana",">3","juntos","basica","basica","otro","otro","distancia","madre","15-30","2-5",3,"no","si","si","no","si","si","si","no","buena","suficiente","suficiente","mucho","mucho","muy_buena",9,"R"
"GP","F",18,"urbana","<=3","separados","basica","superior","servicios","otro","curriculo","madre","15-30","2-5",1,"no","si","no","no","si","si","si","no","muy_buena","suficiente","suficiente","nada","nada","buena",18,"R"
"GP","F",17,"urbana","<=3","juntos","primaria","primaria","ninguno","ninguno","curriculo","madre","<15","5-10",0,"no","si","no","si","si","si","si","si","muy_buena","suficiente","poco","nada","muy_poco","muy_buena",10,"R"
"GP","M",19,"urbana",">3","juntos","superior","basica","salud","otro","curriculo","madre","15-30","2-5",0,"no","si","no","si","si","si","si","si","excelente","bastante","bastante","nada","nada","muy_mala",9,"R"
"GP","F",17,"rural","<=3","juntos","basica","basica","servicios","servicios","curriculo","madre","<15","5-10",0,"no","si","no","si","si","si","si","no","buena","suficiente","poco","muy_poco","muy_poco","buena",0,"R"
"GP","M",17,"rural",">3","juntos","basica","basica","servicios","otro","curriculo","madre",">60","<2",0,"no","si","no","no","si","si","si","no","muy_buena","bastante","mucho","mucho","mucho","muy_buena",2,"R"
"GP","M",19,"rural",">3","juntos","media","basica","ninguno","servicios","distancia","otro","<15","<2",0,"no","si","no","no","no","si","no","si","excelente","suficiente","bastante","muy_poco","muy_poco","excelente",0,"R"
"MS","M",16,"urbana","<=3","juntos","basica","primaria","ninguno","servicios","curriculo","madre","15-30","<2",0,"no","si","no","si","si","si","si","no","mala","bastante","suficiente","muy_poco","poco","muy_buena",4,"R"
"MS","F",16,"urbana",">3","juntos","basica","basica","otro","servicios","curriculo","padre","<15","<2",1,"no","si","si","si","no","si","si","no","muy_buena","bastante","suficiente","nada","bastante","buena",1,"R"
"MS","F",18,"rural","<=3","separados","media","basica","otro","otro","curriculo","otro","15-30","5-10",2,"no","si","no","no","no","no","no","si","buena","suficiente","poco","nada","nada","mala",6,"R"
"MS","F",16,"rural",">3","separados","basica","basica","salud","otro","curriculo","madre","<15","2-5",0,"no","no","no","no","no","si","no","si","buena","suficiente","poco","nada","nada","buena",2,"R"
"MS","F",17,"urbana",">3","separados","primaria","ninguna","otro","otro","otro","madre","15-30","2-5",0,"no","no","no","no","si","si","si","si","muy_buena","bastante","mucho","nada","nada","muy_buena",1,"R"
"MS","F",16,"rural",">3","juntos","basica","media","ninguno","servicios","otro","madre","15-30","2-5",0,"no","si","no","si","si","si","si","no","buena","suficiente","suficiente","nada","nada","mala",0,"R"
"MS","F",16,"urbana","<=3","juntos","superior","primaria","otro","otro","distancia","madre","15-30","2-5",0,"no","si","no","si","si","si","si","no","muy_mala","poco","bastante","muy_poco","muy_poco","muy_mala",8,"R"
"MS","M",19,"urbana",">3","juntos","primaria","primaria","otro","otro","otro","madre","<15","2-5",2,"no","si","no","si","si","no","si","no","muy_buena","bastante","suficiente","poco","bastante","muy_buena",2,"R"
"MS","M",18,"urbana","<=3","juntos","primaria","primaria","ninguno","ninguno","curriculo","madre","15-30","2-5",0,"no","si","no","si","si","si","no","no","muy_buena","suficiente","suficiente","nada","bastante","excelente",6,"R"
"MS","M",17,"urbana","<=3","juntos","media","primaria","servicios","servicios","curriculo","madre","15-30","<2",0,"no","no","no","no","no","si","si","no","mala","bastante","mucho","poco","bastante","mala",6,"R"
"GP","F",15,"urbana","<=3","juntos","primaria","primaria","ninguno","otro","otro","madre","<15","2-5",3,"si","no","si","no","si","si","si","no","muy_buena","suficiente","poco","muy_poco","poco","buena",10,"R"
"GP","F",15,"rural",">3","juntos","primaria","primaria","ninguno","otro","distancia","madre","15-30",">10",1,"si","si","si","si","si","si","si","no","buena","muy_poco","poco","nada","nada","muy_mala",2,"R"
"GP","F",16,"urbana",">3","juntos","basica","primaria","otro","otro","curriculo","madre","<15","2-5",0,"no","si","si","no","si","si","no","si","muy_buena","suficiente","mucho","nada","nada","excelente",2,"R"
"GP","M",15,"urbana","<=3","separados","basica","primaria","servicios","otro","curriculo","madre",">60","<2",3,"no","no","no","no","si","si","si","no","muy_buena","mucho","mucho","muy_poco","mucho","excelente",0,"R"
"GP","F",15,"rural",">3","juntos","media","media","servicios","servicios","reputacion","otro","15-30","5-10",2,"no","si","si","si","si","si","si","si","muy_buena","poco","muy_poco","muy_poco","poco","buena",8,"R"
"GP","M",17,"urbana","<=3","juntos","superior","superior","docencia","otro","reputacion","madre","<15","2-5",0,"no","si","si","si","si","si","si","no","muy_buena","bastante","bastante","nada","poco","excelente",0,"A"
"GP","M",16,"rural","<=3","juntos","media","media","docencia","otro","distancia","padre","31-60","<2",0,"no","si","si","si","si","si","si","no","buena","suficiente","bastante","poco","mucho","buena",8,"R"
"GP","F",17,"urbana",">3","juntos","primaria","primaria","otro","otro","curriculo","madre","<15","2-5",0,"no","si","si","no","no","si","no","no","muy_buena","bastante","bastante","nada","poco","muy_mala",4,"R"
"GP","F",16,"urbana",">3","juntos","primaria","primaria","ninguno","otro","distancia","madre","15-30","<2",0,"no","si","si","no","si","si","no","no","muy_buena","suficiente","poco","nada","bastante","excelente",6,"R"
"GP","F",17,"rural","<=3","juntos","superior","superior","servicios","otro","otro","madre","<15","<2",0,"no","si","si","no","si","si","no","no","excelente","poco","muy_poco","nada","muy_poco","buena",12,"R"
"GP","M",16,"urbana",">3","juntos","media","basica","ninguno","otro","reputacion","madre","15-30","5-10",0,"no","no","no","si","si","si","si","si","excelente","suficiente","suficiente","nada","poco","mala",10,"R"
"GP","M",16,"urbana",">3","juntos","media","media","ninguno","otro","reputacion","otro","31-60","2-5",0,"si","si","no","no","no","si","si","no","excelente","suficiente","suficiente","nada","poco","mala",6,"R"
"GP","M",17,"urbana","<=3","juntos","superior","superior","otro","docencia","distancia","padre","15-30","<2",0,"no","no","si","no","si","si","si","no","muy_buena","muy_poco","muy_poco","muy_poco","muy_poco","excelente",0,"R"
"MS","M",18,"urbana","<=3","juntos","primaria","primaria","otro","servicios","distancia","padre","15-30","<2",0,"no","no","no","no","no","si","si","si","buena","suficiente","poco","nada","muy_poco","buena",4,"R"
"MS","F",18,"urbana",">3","juntos","media","media","servicios","servicios","otro","madre","15-30","2-5",0,"no","si","no","no","si","si","si","si","muy_buena","suficiente","poco","nada","poco","buena",0,"R"
"MS","F",18,"rural",">3","juntos","primaria","primaria","otro","otro","distancia","madre",">60","5-10",0,"no","no","no","no","si","si","si","no","muy_buena","suficiente","poco","nada","muy_poco","muy_buena",2,"R"
"MS","M",17,"urbana",">3","juntos","basica","media","otro","servicios","distancia","padre","15-30","2-5",0,"no","no","no","si","si","si","si","no","muy_buena","bastante","suficiente","nada","nada","buena",2,"R"
"GP","M",15,"urbana",">3","juntos","superior","superior","salud","servicios","distancia","madre","<15","2-5",0,"no","si","si","no","no","si","si","no","excelente","bastante","poco","poco","bastante","excelente",0,"R"
"GP","F",16,"urbana","<=3","juntos","basica","basica","otro","ninguno","curriculo","padre","15-30","2-5",1,"si","no","no","si","si","si","si","no","muy_buena","suficiente","suficiente","muy_poco","muy_poco","excelente",14,"R"
"GP","M",15,"urbana",">3","juntos","superior","media","docencia","otro","distancia","madre","<15","2-5",0,"no","si","no","si","si","si","si","no","muy_buena","suficiente","suficiente","muy_poco","poco","excelente",0,"R"
"GP","M",15,"urbana",">3","juntos","superior","ninguna","docencia","otro","curriculo","madre","15-30",">10",0,"no","no","no","si","si","si","si","no","buena","bastante","suficiente","nada","nada","muy_mala",0,"A"
"GP","F",15,"urbana","<=3","juntos","media","basica","servicios","otro","reputacion","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","bastante","bastante","nada","nada","excelente",4,"A"
"GP","F",16,"urbana","<=3","juntos","basica","basica","ninguno","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","no","no","muy_buena","suficiente","bastante","nada","muy_poco","mala",6,"A"
"GP","M",16,"rural",">3","juntos","superior","media","servicios","otro","reputacion","madre","15-30","<2",0,"si","si","si","si","no","si","si","no","buena","suficiente","suficiente","nada","nada","muy_buena",6,"R"
"GP","M",15,"rural",">3","juntos","superior","superior","otro","otro","distancia","padre",">60",">10",0,"no","si","no","si","si","si","si","si","muy_mala","suficiente","mucho","poco","mucho","muy_mala",8,"A"
"GP","M",17,"rural",">3","juntos","primaria","media","otro","otro","curriculo","padre","31-60","2-5",1,"no","si","no","si","si","si","si","no","excelente","poco","bastante","nada","bastante","excelente",14,"A"
"GP","F",16,"urbana",">3","separados","basica","basica","otro","otro","distancia","madre","<15","<2",1,"no","no","no","no","si","si","no","no","excelente","suficiente","bastante","nada","nada","excelente",12,"A"
"GP","M",15,"urbana",">3","juntos","superior","media","docencia","servicios","curriculo","padre","15-30",">10",0,"si","si","no","no","si","si","si","no","mala","poco","poco","nada","nada","buena",6,"R"
"GP","F",15,"urbana",">3","juntos","media","basica","salud","servicios","distancia","padre","<15","2-5",1,"no","si","no","no","si","si","si","no","buena","suficiente","poco","nada","nada","buena",2,"R"
"GP","M",19,"urbana",">3","juntos","media","basica","servicios","ninguno","distancia","madre","<15","<2",0,"no","si","no","no","si","no","si","si","muy_buena","mucho","bastante","nada","nada","muy_buena",6,"R"
